Start,Finish,Active Calories (kcal),Blood Pressure (Diastolic) (mmHg),Blood Pressure (Systolic) (mmHg),Distance (mi),Heart Rate (count/min),Steps
17-Feb-2019 00:00,18-Feb-2019 00:00,219.733,0.0,0.0,1.08377573954076,115.0,2226.0
18-Feb-2019 00:00,19-Feb-2019 00:00,353.087999999999,0.0,0.0,1.13263445997859,121.0,2275.0
19-Feb-2019 00:00,20-Feb-2019 00:00,444.236999999999,0.0,0.0,1.73861314993145,131.0,3504.0
20-Feb-2019 00:00,21-Feb-2019 00:00,579.024,0.0,0.0,1.83738166611998,115.0,3633.0
21-Feb-2019 00:00,22-Feb-2019 00:00,579.513,0.0,0.0,2.22541865598848,119.0,4547.0
22-Feb-2019 00:00,23-Feb-2019 00:00,0.0,0.0,0.0,0.764580455250903,0.0,1842.0
23-Feb-2019 00:00,24-Feb-2019 00:00,581.355892648302,0.0,0.0,4.6284945192187,142.0,9540.0
24-Feb-2019 00:00,25-Feb-2019 00:00,498.855107351697,0.0,0.0,2.43301192963828,162.0,5561.0
25-Feb-2019 00:00,26-Feb-2019 00:00,369.164,0.0,0.0,1.25215527516338,121.0,2560.0
26-Feb-2019 00:00,27-Feb-2019 00:00,366.797,0.0,0.0,1.36848000722157,113.0,2746.0
27-Feb-2019 00:00,28-Feb-2019 00:00,469.585,0.0,0.0,2.21148189203708,130.0,4423.0
28-Feb-2019 00:00,01-Mar-2019 00:00,356.785,0.0,0.0,2.1253928283481,126.0,4451.0
01-Mar-2019 00:00,02-Mar-2019 00:00,126.511,0.0,0.0,1.04872810701123,136.0,2147.0
02-Mar-2019 00:00,03-Mar-2019 00:00,383.586,0.0,0.0,1.83693473589262,120.0,3707.0
03-Mar-2019 00:00,04-Mar-2019 00:00,190.967,0.0,0.0,0.927335054134672,104.0,1907.99024721703
04-Mar-2019 00:00,05-Mar-2019 00:00,415.451000000001,0.0,0.0,1.69062412876261,119.0,3429.0
05-Mar-2019 00:00,06-Mar-2019 00:00,425.967,0.0,0.0,1.94823699868073,100.0,3906.0
06-Mar-2019 00:00,07-Mar-2019 00:00,704.226,0.0,0.0,4.37501245030634,118.0,8915.0
07-Mar-2019 00:00,08-Mar-2019 00:00,467.018,0.0,0.0,1.95423292044774,109.0,3874.0
08-Mar-2019 00:00,09-Mar-2019 00:00,518.695,0.0,0.0,2.31334409622144,118.0,4654.60379733221
09-Mar-2019 00:00,10-Mar-2019 00:00,799.634619748142,0.0,0.0,4.72392443496577,127.0,9685.0
10-Mar-2019 00:00,11-Mar-2019 00:00,215.937380251859,0.0,0.0,0.760022312808573,132.0,1535.0
11-Mar-2019 00:00,12-Mar-2019 00:00,443.829,0.0,0.0,1.91437228546054,128.0,3917.0
12-Mar-2019 00:00,13-Mar-2019 00:00,400.425,0.0,0.0,1.91629870344656,123.0,3926.0
13-Mar-2019 00:00,14-Mar-2019 00:00,460.783,0.0,0.0,2.05057751324369,123.0,4094.0
14-Mar-2019 00:00,15-Mar-2019 00:00,450.038,0.0,0.0,2.44043837421889,110.0,4886.0
15-Mar-2019 00:00,16-Mar-2019 00:00,376.349999999999,0.0,0.0,2.15966940753433,131.0,4255.0
16-Mar-2019 00:00,17-Mar-2019 00:00,530.547,0.0,0.0,3.60341836857976,112.0,7282.0
17-Mar-2019 00:00,18-Mar-2019 00:00,322.897,0.0,0.0,1.94109005244338,120.0,3950.0
18-Mar-2019 00:00,19-Mar-2019 00:00,386.906,0.0,0.0,1.40896616002005,97.0,2848.0
